codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
79731;RUA PONGAI;Rua Pongai;R. Pongai;S;Via Pavimentada;;;876;BARRO
79774;RUA SEVERINO LUIZ DE FRANCA;Rua Severino Luiz de França;R. Severino Luiz de Franca;S;Via Pavimentada;;;892;TEJIPIO
79782;RUA ALOISIO LEAL;Rua Aloísio Leal;R. Aloisio Leal;N;Via Não Pavimentada;;;892;TEJIPIO
79790;RUA MURITI;Rua Muriti;R. Muriti;S;Via Pavimentada;;;833;ESTANCIA
79804;TRV PONTENGI;Travessa Potengi;Trv Pontengi;P;Via Parcialmente Pavimentada;;;35;SAO JOSE
79812;TRV JOAO LEITE;Travessa João Leite;Trv João Leite;X;Não definida;;;795;MANGUEIRA
79820;RUA GUARAMIRIM;Rua Guaramirim;R. Guaramirim;N;Via Não Pavimentada;;;825;JIQUIA
79820;RUA GUARAMIRIM;Rua Guaramirim;R. Guaramirim;N;Via Não Pavimentada;;;779;AFOGADOS
79839;1SB CORREGO DO LEONCIO;1ª Subida Córrego do Leoncio;1Sb Corrego do Leoncio;S;Via Pavimentada;;;566;NOVA DESCOBERTA
79847;RUA S D 5108;Rua S D 5108;R. S D 5108;S;Via Pavimentada;;;884;COHAB
79855;TRV DA RUA GUAPUA;Travessa da Rua Guapua;Trv da R. Guapua;P;Via Parcialmente Pavimentada;;;35;SAO JOSE
79855;TRV DA RUA GUAPUA;Travessa da Rua Guapua;Trv da R. Guapua;P;Via Parcialmente Pavimentada;;;892;TEJIPIO
79855;TRV DA RUA GUAPUA;Travessa da Rua Guapua;Trv da R. Guapua;P;Via Parcialmente Pavimentada;;;922;COQUEIRAL
79863;PTE GILBERTO FREYRE;Ponte Gilberto Freyre;Pte Gilberto Freyre;S;Via Pavimentada;;;264;IMBIRIBEIRA
79863;PTE GILBERTO FREYRE;Ponte Gilberto Freyre;Pte Gilberto Freyre;S;Via Pavimentada;;;779;AFOGADOS
79880;RUA SERRA FORMOSA;Rua Serra Formosa;R. Serra Formosa;P;Via Parcialmente Pavimentada;;;884;COHAB
79898;RUA CORONEL CELIO REGUEIRA;Rua Coronel Celio Regueira;R. Cel Celio Regueira;S;Via Pavimentada;;;736;VARZEA
79910;2SB FELISBURGO;2ª Subida Felisburgo;2Sb Felisburgo;S;Via Pavimentada;;;566;NOVA DESCOBERTA
79928;4TR DAMOLANDIA;4 Travessa Damolândia;4 tr. Damolândia;N;Via Não Pavimentada;;;566;NOVA DESCOBERTA
79936;2TR AGUIA BRANCA;2ª Travessa Águia Branca;2Tr Aguia Branca;S;Via Pavimentada;;;566;NOVA DESCOBERTA
79944;1TR AGUIA BRANCA;1ª Travessa Águia Branca;1Tr Aguia Branca;S;Via Pavimentada;;;566;NOVA DESCOBERTA
79952;RUA S D 7995;Rua S D 7995;R. S D 7995;S;Via Pavimentada;;;566;NOVA DESCOBERTA
79960;1SB DA JOSELIA;1ª Subida da Josélia;1ª Sb. da Josélia;S;Via Pavimentada;;;566;NOVA DESCOBERTA
90140;RUA AGUAPEI;Rua Aguapei;R. Aguapei;N;Via Não Pavimentada;;;655;TORRE
79979;2TR DAMOLANDIA;2ª Travessa  Damolandia;2Tr  Damolandia;N;Via Não Pavimentada;;;566;NOVA DESCOBERTA
